,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__activation,param_mlpclassifier__alpha,param_mlpclassifier__learning_rate,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7432696342468261,0.1875727048962336,0.003026866912841797,0.0017864826163284078,logistic,1e-06,constant,lbfgs,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'lbfgs'}",0.8647504456327986,0.8723262032085561,0.8264260249554367,0.8368983957219251,0.8019162210338682,0.8643048128342246,0.8772281639928698,0.7963458110516934,0.8139483065953654,0.8293402000298552,0.8383484585056594,0.028194342422462708,115
1,4.568766260147095,0.27056826120616323,0.0022098064422607423,0.00020599983899221728,logistic,1e-06,constant,sgd,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'sgd'}",0.8464795008912656,0.8694295900178253,0.8110516934046346,0.8014705882352942,0.803698752228164,0.8311051693404634,0.8132798573975044,0.8108288770053476,0.838903743315508,0.8213912524257352,0.8247639024261743,0.020539046565070204,118
2,5.678732299804688,0.43504086541690595,0.002151179313659668,3.676783231507494e-05,logistic,1e-06,constant,adam,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'adam'}",0.8819073083778965,0.8845811051693404,0.8692067736185383,0.8823529411764706,0.8718805704099821,0.8464795008912656,0.9095365418894831,0.8163992869875223,0.85650623885918,0.8467681743543812,0.866561844173406,0.024706541938639484,37
3,0.6007325887680054,0.14299041623185946,0.0025473594665527343,0.001299111549139283,logistic,1e-06,adaptive,lbfgs,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'lbfgs'}",0.8647504456327986,0.8723262032085561,0.8264260249554367,0.8368983957219251,0.8019162210338682,0.8643048128342246,0.8772281639928698,0.7963458110516934,0.8139483065953654,0.8293402000298552,0.8383484585056594,0.028194342422462708,115
4,4.965334892272949,0.3093916058391524,0.002362489700317383,0.0007335671970011625,logistic,1e-06,adaptive,sgd,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'sgd'}",0.8413547237076648,0.8669786096256684,0.8110516934046346,0.8014705882352942,0.803698752228164,0.8235294117647058,0.8057040998217468,0.8108288770053476,0.838903743315508,0.8213912524257352,0.8224911751534469,0.019875418289119838,124
5,5.595135259628296,0.4540268715426931,0.0032185077667236327,0.0022544240963187027,logistic,1e-06,adaptive,adam,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'adam'}",0.8819073083778965,0.8845811051693404,0.8692067736185383,0.8823529411764706,0.8718805704099821,0.8464795008912656,0.9095365418894831,0.8163992869875223,0.85650623885918,0.8467681743543812,0.866561844173406,0.024706541938639484,37
6,0.5786019563674927,0.06984946404871459,0.0026895999908447266,0.0012727547624788607,logistic,1e-05,constant,lbfgs,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-05, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'lbfgs'}",0.8672014260249554,0.8723262032085561,0.8315508021390374,0.8520499108734403,0.8019162210338682,0.8643048128342246,0.874777183600713,0.7963458110516934,0.8112745098039216,0.8168383340797134,0.8388585214650123,0.029165589262267866,113
7,4.732199478149414,0.38684398005915754,0.0027716636657714845,0.0013437270009830663,logistic,1e-05,constant,sgd,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-05, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'sgd'}",0.8464795008912656,0.8694295900178253,0.8110516934046346,0.8014705882352942,0.803698752228164,0.8311051693404634,0.8132798573975044,0.8108288770053476,0.838903743315508,0.8213912524257352,0.8247639024261743,0.020539046565070204,118
8,6.392710208892822,0.6011181833766789,0.0021508455276489256,4.395924623984016e-05,logistic,1e-05,constant,adam,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-05, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'adam'}",0.8819073083778965,0.8845811051693404,0.8692067736185383,0.8823529411764706,0.8718805704099821,0.8464795008912656,0.9095365418894831,0.8239750445632799,0.8540552584670231,0.8467681743543812,0.8670743218917659,0.02335414022596627,33
9,0.6178770303726197,0.0805935690478851,0.003407931327819824,0.0018420058812167778,logistic,1e-05,adaptive,lbfgs,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__alpha': 1e-05, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'lbfgs'}",0.8672014260249554,0.8723262032085561,0.8315508021390374,0.8520499108734403,0.8019162210338682,0.8643048128342246,0.874777183600713,0.7963458110516934,0.8112745098039216,0.8168383340797134,0.8388585214650123,0.029165589262267866,113
