,featuresSet,cvFold1,cvFold2,cvFold3,cvFold4,cvFold5,mean,std
0,allFeatures,-0.15033516108459188,-0.1581382404925169,-0.15076775050417815,-0.14425176912364854,-0.1509783584576021,-0.15089425593250752,0.0049227433210205515
0,featuresCorrelated<0.9,-0.15408931701872422,-0.15894771764729898,-0.1522998111210864,-0.14675508458781555,-0.1548175275335019,-0.1533818915816854,0.004433547963679699
0,featuresCorrelated<0.8,-0.1575503649004946,-0.15844028109856267,-0.15990424911253057,-0.15226340870621466,-0.15973746188790877,-0.15757915314114226,0.003125055077188615
0,featuresCorrelated<0.7,-0.15926794665721672,-0.16363128889031384,-0.16244725345300542,-0.15542527076056506,-0.16202048197110472,-0.16055844834644115,0.0032849042145978074
0,featuresCorrelated<0.6,-0.16946484246010582,-0.16973042389296777,-0.1710029692798247,-0.16324445700449375,-0.17089252965174187,-0.1688670444578268,0.003216404875281068
0,featuresCorrelated<0.5,-0.1833718482705662,-0.1808281296424077,-0.18272608113796193,-0.17953630884435753,-0.18247728271381916,-0.1817879301218225,0.0015696453711359093
