,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__max_features,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
14,0.011785531044006347,0.003368976156926928,0.0024124860763549806,0.0010169136552142443,1,1,10,1,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 1}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
15,0.013840794563293457,0.0026576568831770705,0.0019478082656860351,0.00012236509502317155,1,1,10,5,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 5}",0.5127005347593583,0.5,0.5,0.5,0.535427807486631,0.5,0.5,0.5,0.5,0.5454545454545454,0.5093582887700535,0.01614550445766778,533
16,0.021156978607177735,0.007005272312237624,0.0028697490692138673,0.001615400388395684,1,1,10,10,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
17,0.046490478515625,0.00564707073893368,0.0053836584091186525,0.003815771170865121,1,1,10,50,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
18,0.07454383373260498,0.008432835264782584,0.0063485860824584964,0.0029411678693294493,1,1,10,100,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
19,0.348930287361145,0.02343716504769725,0.019031119346618653,0.005942262173169065,1,1,10,500,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 500}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
20,0.7143548250198364,0.028287595900231274,0.03865106105804443,0.007349044786073926,1,1,10,1000,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 1000}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
21,0.009524846076965332,0.002369879825853813,0.0023279905319213865,0.0015253664439540775,1,1,20,1,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 1}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
22,0.013430953025817871,0.0032109691121815762,0.002076578140258789,0.0010124976107603303,1,1,20,5,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 5}",0.5127005347593583,0.5,0.5,0.5,0.535427807486631,0.5,0.5,0.5,0.5,0.5454545454545454,0.5093582887700535,0.01614550445766778,533
23,0.015569067001342774,0.00386094785404953,0.0019687414169311523,9.274937795050926e-05,1,1,20,10,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
24,0.042007064819335936,0.006809491655730244,0.003842616081237793,0.0010064397593412785,1,1,20,50,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
